bankname,type,sms
Riyad bank,Withdrawl,"Online Purchase
By:*3000;Mada Card 
Amount:1.00 SAR
Account:*97900
At:Jahez international Co
On:2022-04-18 12:03"
Riyad bank,Withdrawl,"Authentication code:2106
For:E-Commerce transaction
Amount:49.99 SAR
At:Jahez international Co
On:2022-08-01 13:51"
Riyad bank,Withdrawl,"POS Purchase
By:*6080;Mada Atheer
Amount:SAR 80.00
From:STARBUCKS-2078
On:2022-06-16 11:11"
Riyad bank,Withdrawl,"Outgoing Transfer Approved(Sarie)
From:***8980
To:ابتهال س. الصف**
Amount:SAR 170.00
Via:Al Rajhi Bank 
IBAN:*****8890 
On:2022-01-09 15:15
Ref:**302340"
AlAhli,Other,"One Time Password 8989
For Local beneficiary activation 
Beneficiary: Shams AlQahtani
Bank: Alinma Bank 
On: 2022-06-18 20:31"
AlAhli,Other,You requested an activation code 8000 for Transaction to activate your Debit Card.
AlAhli,Other,"One Time Password 879009
For Adding your MCD ending with 7890
to madapay
On: 2022-05-20 11:32.
Sharing the code with anyone exposes you to fraud"
AlRajhi,Other,"Your Apple Pay verification code is 461832. To activate your card, enter this code in the Wallet app."
AlAhli,Other,Requested an activation code 2361 for Login Authentication on 06/05/2022 22:30. Sharing the code with anyone exposes you to fraud
Albilad,Other,"Dear Customer
Your Mada Virtual Card ending with 1809 has been issued and you can login to Albilad Application to assign your card PIN."
Albilad,Deposit.,"Incoming Fund Transfer Local
From: AL INMA BANK SAUDI ARABIA
Sender: SAAD KHALID ALQARNI
Sender Account: xx7777
Receiver: AHMAD KHALID ALQARNI
Receiver Account: xx9995
Amount: 4000.00 SAR
at: 28/09/2021 10:44:35
Ref: 20220821SAINMAINMA2BXXX394857898001"
Albilad,,"Beneficiary: فيصل سعيد السالم
Nickname: فيصل السالم
Status: Add
Account: xx999
Bank: AL RAJHI BANK SAUDI ARABIA
Date: 09/21/21 13:01"
Albilad,Withdrawl,"
Outgoing Funds Transfer Local Approved
To: AL RAJHI BANK SAUDI ARABIA
Sender: HESSAH ALSALEM
Sender Account: xx0909
Receiver: سعد السالم
Receiver IBAN: ********8000
Amount: 130. 00 SAR
Fees: 0.58 SAR
at: 02/03/2022 17:13:05
Ref: 20220828SAALBIALBI2BXXX87358753219"
Alinma,Deposit.,"Incoming Funds Transfer (Sarie)
To Account: **9090
Amount: 0.10 SAR
From: HESSA MUHAMMED ALAMRI
From Account: **9090
From Bank: BANK ALBILAD
At: 2022-08-2013:13
Ref: **1589090"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 31 SAR
mada card: 9090*
Account: **7000
At: DUNKIN 10195
On: 2021-8-20 06:24"
Alinma,Withdrawl,"Online Purchase
Amount: 41.50 SAR
mada card: 8909*
From Account: **7800
at: HungerStation
On: 2022-08-09 10:00"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 18 SAR
mada card: 0697*
Account: **6700
At: DUNKIN 10195
On: 2022-8-25 10:26"
Alinma,Other,"Please use the code: 1009
To activate: SARIE Fund Transfer to Beneficiary
Purpose: Personal Transfer"
Alinma,Other,"Dear Customer,
The beneficiary has been activated successfully."
Alinma,Deposit.,"Credit Transfer Internal
Amount: 100 SAR
To account: **8909
From: حصة العمري
On: 2022-08-21 09:39"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 119 SAR
mada card: 8898*
Account: **8090
At: LEFTIES
On: 2022-8-19 21:19"
Alinma,Other,"Please use the code: 9000
To activate: Fund Transfer to Beneficiary inside the Bank"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 34.50 SAR
mada card: 9090*
Account: **8989
At: STC Channels - 71011
On: 2022-8-19 20:00"
Alinma,Withdrawl,"Online Purchase
Amount: 43 SAR
mada card: 9000*
From Account: **8989
at: HungerStation
On: 2022-08-17 23:33"
Alinma,Withdrawl,"Debit Transfer Internal
Amount: 200 SAR
To beneficiary: KHALID FAISAL ALQARNI
To Account *9090
From Account: **7000
On: 2022-08-15 20:32"
Alinma,Withdrawl,"Debit Transfer Internal
Amount: 1,500 SAR
To beneficiary: مشاعل حسن محمود القحطاني 
To Account *9090
From Account: **8899
On: 2022-08-14 18:23"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 10 SAR
mada card: 8989*
Account: **9900
At: FEKER AND EBDAA
On: 2022-8-14 10:58"
Alinma,Deposit.,"Credit Transfer Internal
Amount: 2,300 SAR
To account: **8989
From: مشاعل حسن القحطاني 
On: 2022-07-19 19:46
"
Alinma,Deposit.,"Credit Transfer Internal
Amount: 1,400 SAR
To account: **9090
From: سارة القحطاني
On: 2022-07-18 17:38"
Alinma,Other,"Dear customer,
To complete the internet purchase transaction
Amount: 43.0 SAUDI RIYAL
Merchant: hungerstation
Please use the temporary password:89890"
Alinma,Withdrawl,"Online Purchase
Amount: 48.85 SAR
mada card: 5565*
From Account: **9090
at: HungerStation
On: 2022-07-13 21:38"
Alinma,Withdrawl,"Debit Transfer Internal
Amount: 200 SAR
To beneficiary: SAAD HASSAN ALSADAH
To Account *8899
From Account: **9090
On: 2022-07-09 12:34"
Alinma,Withdrawl,"mada Atheer POS Purchase
Amount: 129 SAR
mada card: 9900*
Account: **7080
At: THE FUTURE HERE COMPAN
On: 2022-7-9 23:06"
